Gene	ModuleColor	kWithin	ModuleName
PPIC	black	2.12502019963502	AUD2
PPM1A	black	21.3659642089761	AUD2
PPP1R13B	black	2.24482871180817	AUD2
PPP1R3D	black	2.21561078392011	AUD2
PPP2R5A	black	7.60871285549847	AUD2
PQLC2L	black	2.49723853901709	AUD2
PRAG1	black	14.9793267893317	AUD2
PRKAB1	black	6.29073169803901	AUD2
PRKCZ	black	19.6577992017755	AUD2
PROSER2	black	20.2668297834495	AUD2
PRR15	black	12.4657322909742	AUD2
PTBP3	black	22.4460343143981	AUD2
PTGIS	black	29.2560675000198	AUD2
PTK7	black	26.8819276364182	AUD2
PTPA	black	29.2442629992549	AUD2
PTPN3	black	3.78533476581354	AUD2
RAB3IP	black	23.5121475794741	AUD2
RALGAPA2	black	4.40231548248653	AUD2
RAMP1	black	5.5532421499103	AUD2
RIN2	black	18.3740379701707	AUD2
RMND5A	black	5.69295086828536	AUD2
RNF128	black	9.77797381315678	AUD2
RNF44	black	13.9240974293653	AUD2
SCAMP5	black	28.1569125594429	AUD2
SCX	black	6.27896725957051	AUD2
SEMA4D	black	19.1522682507339	AUD2
SEMA6C	black	13.1121839996527	AUD2
SEPT6	black	28.1716593475324	AUD2
SERPINF1	black	36.3896149870705	AUD2
SESN1	black	11.699643232434	AUD2
SFT2D2	black	12.6517164565132	AUD2
SH3RF2	black	18.9402117654234	AUD2
SHROOM2	black	10.7386282247709	AUD2
SKIL	black	8.622576175522	AUD2
SLC22A3	black	9.72555794232561	AUD2
SLC29A3	black	1.54052752899229	AUD2
SMAD1	black	24.166485514316	AUD2
SMAD7	black	6.14444214363195	AUD2
SMAD9	black	14.6208415798439	AUD2
SMIM20	black	4.22243878350402	AUD2
SNTA1	black	9.36073924284785	AUD2
SOX4	black	29.8540372942701	AUD2
SPATA18	black	20.1088897863172	AUD2
SPR	black	3.39075247483286	AUD2
SPSB1	black	20.6343626045749	AUD2
SPTBN2	black	13.7095116393108	AUD2
SRC	black	16.4027010847847	AUD2
SSBP3	black	11.7993700575807	AUD2
SSC4D	black	5.622588129862	AUD2
STRBP	black	7.89615625603631	AUD2
SULF2	black	24.2651243651372	AUD2
SULT1C4	black	33.0673809628739	AUD2
SYT1	black	14.5684027652706	AUD2
TAF8	black	3.99133869137203	AUD2
TCP11L2	black	4.09955890394604	AUD2
TGFBI	black	27.3588419055638	AUD2
TGFBR1	black	27.1197196038663	AUD2
TGIF1	black	18.7518604309545	AUD2
TMEM59L	black	6.81289650080197	AUD2
TMEM97	black	8.03833434904989	AUD2
TNS1	black	25.166007533937	AUD2
TP53I11	black	24.9803957237115	AUD2
TPD52	black	9.0166386103103	AUD2
TRIB3	black	29.0245715637048	AUD2
TRIM24	black	11.8405105581633	AUD2
TRIQK	black	14.206317489912	AUD2
TTYH2	black	20.6008391149714	AUD2
TXLNG	black	11.8857855812502	AUD2
UHRF1BP1	black	11.6794731468149	AUD2
VGLL4	black	17.4670610236694	AUD2
VLDLR	black	24.3958736601778	AUD2
VPS28	black	3.86929774891277	AUD2
WIPF1	black	22.6205181093123	AUD2
WT1	black	27.0162832540769	AUD2
ZBTB46	black	22.0460069909657	AUD2
ZCCHC14	black	5.18158463785762	AUD2
ZDHHC13	black	12.1917810249577	AUD2
ZNF219	black	20.5517124180723	AUD2
ZNF277	black	5.73003856320795	AUD2
ZNF487	black	3.40473281588889	AUD2
ZNF496	black	18.1016768740364	AUD2
ZNF524	black	2.91015862384803	AUD2
ZNF618	black	20.2584375832659	AUD2
AARS2	blue	12.3798798484912	AUD3
ABHD11	blue	27.3546569448232	AUD3
ABHD3	blue	4.36681506918158	AUD3
ACD	blue	36.9647319696279	AUD3
ACOT7	blue	50.7382700900208	AUD3
ACP1	blue	29.6195936005658	AUD3
ACTL6A	blue	80.3531751894942	AUD3
ACTR1A	blue	43.8232752138323	AUD3
ACTR2	blue	47.0797182732073	AUD3
ACTR3	blue	52.2562191108878	AUD3
ADPRHL2	blue	9.24991731450955	AUD3
ADSL	blue	7.2468756669327	AUD3
ADSS	blue	21.2647011936993	AUD3
AGPAT5	blue	54.5178790934054	AUD3
AGPS	blue	41.8681243404067	AUD3
AHSA1	blue	62.33827595573	AUD3
AIMP1	blue	22.1689760644971	AUD3
AIMP2	blue	14.1026913994805	AUD3
AKAP1	blue	9.10355229623579	AUD3
ALG10	blue	5.20906138087801	AUD3
ALYREF	blue	77.3125895805508	AUD3
ANAPC1	blue	42.0279501680156	AUD3
ANKRD40	blue	6.85629819947118	AUD3
ANP32A	blue	61.2483625266439	AUD3
APEX1	blue	48.9437288964979	AUD3
APEX2	blue	20.900812812269	AUD3
APOO	blue	10.3182864405377	AUD3
ARCN1	blue	15.7441440696409	AUD3
ARFGAP2	blue	9.4560933259798	AUD3
ARIH2	blue	3.2981716445151	AUD3
ARL6IP6	blue	29.3023162108038	AUD3
ASCC2	blue	18.9712148476981	AUD3
ATG4A	blue	19.943401541937	AUD3
ATP1B3	blue	10.8439727545263	AUD3
ATP5F1B	blue	58.582319734075	AUD3
ATP5PB	blue	47.6742530335262	AUD3
ATP6V1D	blue	20.3131486598572	AUD3
AUNIP	blue	35.8673242751208	AUD3
BAK1	blue	19.5468906418381	AUD3
BANF1	blue	24.7043675473009	AUD3
BAZ1B	blue	18.0129889048969	AUD3
BCCIP	blue	46.1817734983403	AUD3
BCL7C	blue	2.83684177697978	AUD3
BCS1L	blue	33.2580576200847	AUD3
BIRC2	blue	26.898413310267	AUD3
BMS1	blue	20.8609087118031	AUD3
BORA	blue	64.9171887158358	AUD3
BRCC3	blue	11.2953438357884	AUD3
BRF2	blue	7.36818278877273	AUD3
C11orf58	blue	48.059663010385	AUD3
C12orf4	blue	4.44470493270698	AUD3
C18orf54	blue	7.41050812844714	AUD3
C19orf47	blue	16.5472923687207	AUD3
C19orf53	blue	4.26222976243619	AUD3
C1QBP	blue	85.157180406696	AUD3
C1orf109	blue	10.9592590110747	AUD3
C1orf174	blue	4.00763313772933	AUD3
C2CD3	blue	9.99529616714895	AUD3
C3orf14	blue	5.0503440209138	AUD3
C8orf88	blue	10.7050315047507	AUD3
CAD	blue	18.7833187052615	AUD3
CAPRIN1	blue	64.3243092999211	AUD3
CBX5	blue	46.5154366802008	AUD3
CCAR2	blue	12.2949698062926	AUD3
CCDC137	blue	38.8553151900074	AUD3
CCDC138	blue	31.4201512156105	AUD3
CCDC34	blue	39.3247052070457	AUD3
CCDC47	blue	25.5002678695407	AUD3
CCDC58	blue	25.9913213985222	AUD3
CCM2	blue	36.6394537093616	AUD3
CCNC	blue	5.48629533501632	AUD3
CCNK	blue	6.89478146075297	AUD3
CCP110	blue	24.5090362614093	AUD3
CCT2	blue	64.4934999226849	AUD3
CCT3	blue	98.6633524160101	AUD3
CCT4	blue	75.0864945803268	AUD3
CCT6A	blue	52.7616210908381	AUD3
CCT7	blue	57.7965437572859	AUD3
CCT8	blue	60.2830978257094	AUD3
CD3EAP	blue	22.2964133198746	AUD3
CDC123	blue	43.2091276175386	AUD3
CDC23	blue	68.7209578375281	AUD3
CDC27	blue	48.7886569213074	AUD3
CDC7	blue	17.6711641189075	AUD3
