MEbisque4	MEblack	MEblue	MEbrown	MEbrown4	MEcyan	MEdarkgreen	MEdarkgrey	MEdarkmagenta	MEdarkolivegreen	MEdarkorange	MEdarkorange2	MEdarkred	MEdarkslateblue	MEdarkturquoise	MEfloralwhite	MEgreen	MEgreenyellow	MEgrey	MEgrey60	MEivory	MElightcyan	MElightcyan1	MElightgreen	MElightsteelblue1	MElightyellow	MEmagenta	MEmediumpurple3	MEmidnightblue	MEorange	MEorangered4	MEpaleturquoise	MEpink	MEplum1	MEplum2	MEpurple	MEred	MEroyalblue	MEsaddlebrown	MEsalmon	MEsienna3	MEskyblue	MEskyblue3	MEsteelblue	MEtan	MEthistle1	MEthistle2	MEturquoise	MEviolet	MEwhite	MEyellow	MEyellowgreen	Rows	Treatment	Time
H2	-0.0283525442882021	-0.0537028291593588	0.0992018456255627	0.0537174687458142	0.0774062888481795	-0.267925469047174	0.0533826462961687	-0.228817072907706	-0.168209278202977	0.0553669913145039	0.255396355354828	-0.0873209193310244	0.109497201872932	-0.186893883166756	-0.281599581211285	-0.109918666421887	0.31192581755751	0.322613873938668	0.0864795389894637	0.0558709807518633	0.16200411166213	-0.102171053642143	0.049134701145616	-0.0353846151746065	-0.301139486361558	0.140316962380612	-0.192255426366097	0.134399014974414	0.234393544114797	-0.027685216316909	0.22072554640591	0.28806094347442	0.146585221454187	0.204724221500022	0.038268623458509	-0.19293439377887	-0.0798214741583287	-0.236324062100735	-0.088877681986244	-0.277495901868536	0.197697948908569	0.0930123415215933	0.254658678693239	0.217249268768311	0.0696971314508634	-0.214386702624613	-0.0594624213325084	0.000354640674437221	0.16635582208436	0.198691679524953	0.160618846495762	-0.154346065374809	H2	Untreated	48
H3	0.42058525420107	-0.13022287922147	-0.288170164701995	-0.212335579182153	-0.0653116066858535	0.0327181607285507	-0.335992390985471	-0.234155190885565	0.0425394774678255	-0.331203468150626	-0.32110186193999	-0.363996011437427	0.170860287971223	-0.319998771857544	0.136489971847942	-0.327782103271152	-0.128786463654778	0.102985217544862	-0.262847408025419	0.26059059185825	-0.328196689240384	-0.338977277986712	-0.327016922598048	0.0230976594199734	-0.0772166212244824	-0.183379509700457	-0.041897076561815	0.15949463523351	-0.227887128253487	-0.377914196173601	0.125626698751831	0.135535961172258	-0.288891371314067	0.2735734701725	0.309630647823433	0.25161068002352	0.265170366830462	0.263027712912994	0.290169713262916	-0.289065828927566	-0.175678446159131	0.229086058684942	-0.0470413040643471	0.357914670927544	0.296033825536037	-0.213974859209247	-0.251020721578486	-0.140793025992311	-0.12134559370388	0.190753543037835	-0.26458121406814	0.25914095137565	H3	Untreated	48
I1	-0.0829395839089369	0.251708497496267	-0.161304237407293	0.214224561135634	0.206185651713478	0.0465528599783237	-0.0266709315424391	0.309889540032242	0.286025256286961	0.0600364228871748	-0.0433896988510014	0.0730681219868724	0.12047402681566	0.14501556876465	0.182991250607963	-0.0561731932540481	-0.0996852007217078	-0.279348491561936	0.11462123554899	-0.134147847836576	-0.160867479331918	0.234680442642203	0.0582868103333627	-0.282385132761989	0.285623146440564	-0.330077317109265	0.258434996721442	0.0907100165840533	-0.165485560434602	-0.0781721463493212	-0.360987607110256	-0.125210409420199	-0.0593354047319495	-0.101464413997747	0.0368770940895837	-0.111807585336432	-0.179862935948431	0.0305277071877552	0.00326877344910013	0.178869659411217	-0.189973859890501	-0.306394563057055	0.0529199458721161	-0.263960711252082	-0.25988581463664	-0.0757932765995446	0.15949127668155	-0.195603207900356	0.0761682101971146	-0.30149025772479	0.0773933582398431	0.177910774587775	I1	IL1b	48
I2	-0.218708254694575	-0.075226929245843	0.115715512498197	0.0679084291690973	0.063844441370862	-0.104792644545841	0.0574950499860266	-0.066107626189951	-0.0980211318443825	0.127507160721255	0.308799331939387	0.184557310667514	-0.0855317824615508	-0.0344788016578809	-0.239362207977192	0.208763543421958	0.230188703890871	0.171731473161866	0.109296949156231	-0.0787397747366312	0.294766103343897	0.129550836816835	0.264469433683234	-0.0158831353984591	-0.122288835988944	0.15879962300098	-0.188964040584754	0.00728531992572258	0.222960932753249	0.151103057300544	0.101797057640827	0.119285519567884	0.191616881938439	0.0393474994727409	-0.173670209147468	-0.159167127751784	-0.115633150179233	-0.26344347588633	-0.167256110438305	0.0656208413347005	0.270064110401412	0.0306334209392891	0.155717671356421	-0.0247346792543034	-0.0671269866611932	0.0175674197552704	-0.0229415373622794	-0.0412031874415002	0.07550452709161	0.123355035818383	0.188708713878798	-0.200768922803101	I2	IL1b	48
I3	0.0939641013758709	-0.19174789698408	-0.110697555256669	-0.256066319356016	-0.175382917095237	0.305189389038422	-0.200992470287204	0.0150335877625423	0.0109893973621535	-0.201060312975221	-0.171783426176652	-0.129800247966969	-0.235703161520004	-0.0614204261646341	0.111577955676376	0.0891919273205872	-0.239990223849284	-0.0974285070172627	-0.267918311390085	0.224554450797315	-0.134143356686194	-0.147002652246566	-0.132394824818501	0.185844589414334	0.143379048419728	-0.0129280756202985	-0.0717782223479491	-0.0174640294736663	-0.230318806972085	-0.0646812476443984	-0.0237103071335625	-0.238419246140938	-0.222414810965299	0.0575542673959563	0.112682129487072	0.274175131521933	0.279718921232587	0.196992668779606	0.246348844010716	0.134573081518443	-0.0495893940804161	0.192457165802989	-0.279806118176421	-0.0386614650459388	0.185391872461541	0.162843449166444	-0.200502583510989	0.0360235335497699	-0.301755159547541	0.096086621204455	-0.258091201953102	0.146433152250712	I3	IL1b	48
J1	-0.0561602566644472	0.269562899212277	-0.119534656050612	0.226877940335768	0.259326491984298	0.0431541442310435	0.0295611168423977	0.313378695620676	0.314221211994158	0.0795234971458309	0.114931937086064	0.0103728482248886	0.125384564613644	0.105559813211836	0.187839218932147	-0.067003930361183	-0.0870286347443319	-0.247954130928202	0.145845664897421	-0.139745367590556	-0.00636647625063173	0.226985956492167	0.0924704158832326	-0.261293858304386	0.287903923429595	-0.231400983654562	0.266607661187473	0.116002499361712	-0.106626841856328	-0.00132811768739312	-0.299087433814739	-0.110735374925385	-0.0443162520594342	-0.0408974117066344	-0.0124891929225207	-0.118720992299446	-0.162907220678584	0.0395819764216262	-0.000328354348035557	0.180321855142094	-0.211406219868337	-0.261655050551481	0.0613940157693425	-0.2449108385011	-0.249201682333674	0.0629194249201428	0.135607608184757	-0.168867211022215	0.0840603167213137	-0.274207233886864	0.0905389878519809	0.187968950248684	J1	IL1b_Elig	48
J2	-0.245268793658774	-0.0706059002211158	0.110210707249241	0.0661689795294094	0.0639889053474954	-0.109804799009794	0.0559899848829441	-0.0609996754262183	-0.0889838627642242	0.156980135026332	0.38544613775273	0.179358786367072	-0.0754049174456813	-0.0492230764695779	-0.251003909263507	0.239923560170613	0.232797063356335	0.179239070236119	0.111678449954135	-0.10349427483907	0.314762759650772	0.103539420558162	0.284043819642304	-0.0267595274152311	-0.134475803471219	0.190045478490542	-0.196479902176224	0.00898415451966349	0.252435301708861	0.193374326916864	0.0793235062679411	0.134756563302567	0.177980607643633	0.0545801960228349	-0.234947244488996	-0.187274548834643	-0.109997586593345	-0.2805949224468	-0.21218383049506	0.0700512329523735	0.278706851276655	0.0221276098925706	0.157238613479529	-0.0434718168694797	-0.0791781177057413	0.030709768457373	-0.0791147313764806	-0.0557820714030807	0.0808644581277806	0.114771883978347	0.192779565884556	-0.187540736318571	J2	IL1b_Elig	48
J3	0.0903784558388529	-0.198707871720629	-0.128550094633272	-0.264320057254535	-0.199660805986525	0.310932405738656	-0.231710517934077	0.0273900911108942	0.0227870814319296	-0.214039790944407	-0.0856740018729252	-0.175055170301978	-0.246217664796543	-0.108601516731239	0.111168230852372	0.081447017479057	-0.256716598415104	-0.116181982411601	-0.270917931138951	0.213424162635941	-0.061989408698611	-0.160075156617782	-0.164673209101824	0.158923182988132	0.150577927790629	-0.0169780593929474	-0.063836903349151	0.0106403626291542	-0.242540806635326	-0.0104569201935988	-0.053788266946486	-0.265037250901279	-0.266523038396247	0.0496831259784206	0.106306984459048	0.267128673215943	0.266166119857468	0.206048774851487	0.225369760831044	0.133152201709489	-0.0804456841469963	0.177462916830113	-0.269734768004092	-0.0616978934942386	0.162408763596113	0.144775666721655	-0.248475229425174	0.00971949007280518	-0.309635968054793	0.0860131928864193	-0.267231353222145	0.134418266342335	J3	IL1b_Elig	48
K1	0.252570580953126	0.288413614082942	-0.136189611152527	0.193721992591579	0.222654612090406	-0.19768652584229	0.0153024212261606	0.0554731866458474	0.172229065109636	0.00862970115991895	-0.0718932428938484	-0.167574779828415	0.382590554799676	-0.0782745589901901	0.149882953687919	-0.312541030381668	0.0279941156121808	-0.0473353629728131	0.122295168125591	0.0420856822549762	-0.208181044397411	-0.0736633637096235	-0.161533528934774	-0.272365114391965	-0.0987097023124326	-0.253808049343694	0.270803213096639	0.256928455134103	-0.0761922712192399	-0.192829810366718	-0.162848512033692	0.225044145545645	-0.0432490502190798	0.0779466472952518	0.244134009349641	-0.10425798988314	-0.0974190292065817	0.0832651140737707	0.0951018582659467	-0.244914072516478	-0.25257869015271	-0.205084497715164	0.205458035780669	0.155705050986386	-0.0757710803947674	-0.260141563507616	0.189919363439978	-0.189540978953389	0.240529003495187	-0.167872168572269	0.0567838026298623	0.209711375067056	K1	Untreated	72
K2	-0.0135290445405357	-0.0641070674273288	-0.0353898481679397	0.0415603396796417	0.113729775561962	-0.231616586862143	-0.0581690870242901	-0.241533484862269	-0.1645484718416	-0.0928180402374679	-0.173657921553978	-0.14846039462453	0.152309255489064	-0.235203649571366	-0.277591574415891	-0.143210820382971	0.282067531084305	0.32929197668668	-0.0144782142459008	0.183173427115523	-0.169493243817054	-0.129980530701896	0.038968848145984	-0.052406449583347	-0.287219721775609	0.0221123304476752	-0.199468453107881	0.168508912865053	0.127824734472142	-0.202963918449064	0.171078344102348	0.312431386112685	0.0589875713178432	0.264131796156059	0.204263889278842	-0.175066702482632	-0.0265249824944009	-0.220967772763792	-0.00833142277059842	-0.281998815063429	0.191523237138032	0.107492321452914	0.246482646636875	0.243863339138102	0.114728241932091	-0.361662141600739	-0.116277720310617	-0.034891600012572	0.157151849202294	0.223628285020194	0.119550093687355	-0.0751255557728815	K2	Untreated	72
K3	0.43670298050905	-0.126636689358254	-0.380024081255573	-0.236688632988403	0.031927986505574	0.00892167018401693	-0.399879278232028	-0.241614600495951	0.0577651727715969	-0.41311337422554	-0.314518843599285	-0.44932871918324	0.175715000831635	-0.411290291126495	0.147710180151332	-0.390838256968688	-0.153265564236803	0.106635460056187	-0.332733315258446	0.340915248608891	-0.439935312816516	-0.378949332949831	-0.360036949245004	-0.0181955460109101	-0.104263370415228	-0.242340475418758	-0.0462344919882799	0.240296094970773	-0.292608896023833	-0.444894353333135	0.0655909235212661	0.13039508508485	-0.372850748051689	0.346810233875278	0.371681313157921	0.246456859369179	0.293766809674614	0.261209421802931	0.338309194785074	-0.312891218285088	-0.236028406819578	0.215897852749296	-0.0102746110492633	0.318548225321604	0.297629080555657	-0.286404043377038	-0.370671245911774	-0.228692474739323	-0.16184281023331	0.199743709611353	-0.305452824494184	0.273889541018349	K3	Untreated	72
L1	-0.0542881452657686	0.301774716277593	-0.167207938318811	0.236065725478133	0.289274898648684	0.107660043985009	-0.0142546096123384	0.350575636594213	0.34809417089545	0.11123589024495	0.136709229814719	0.0323660447693799	0.175536798816261	0.149573233477548	0.22220497438276	-0.0640484097907802	-0.101499703893348	-0.286627817590032	0.153594031106463	-0.0474963007077085	-0.0631706118618649	0.251365395891781	0.0842952169163393	-0.300952568847718	0.314467633641286	-0.285814443803065	0.283515973050547	0.21465105010409	-0.151986276860064	-0.0686794934558718	-0.357102888084104	-0.119148034910081	-0.0746535644405974	-0.0356839837657731	0.139842980960845	-0.0824410310389193	-0.118614428198159	0.047897139389984	0.092857346811571	0.192290739641091	-0.193691223572183	-0.269259980652	0.0810011564757568	-0.281087837135628	-0.269665509339297	-0.0258190002579243	0.154440046669463	-0.263179439407531	0.0557879974356329	-0.259458414308507	0.0859967332653873	0.262785779704371	L1	IL1b	72
L2	-0.170807869091252	-0.0677342414846418	-0.0899289233063731	0.0578941181269008	0.17631558054561	-0.0432356319083432	-0.130006079446316	-0.0512122300766588	-0.0363875566440689	-0.0916954329142173	-0.00456802663818516	0.0162559125722085	-0.0480340549622288	-0.175777063031814	-0.23678747295285	0.216243945509847	0.19370741078499	0.170234895186346	0.0122915907858996	0.0528605813805455	-0.0514407889303294	0.0560406239867199	0.254224727774342	-0.0881969842581551	-0.11500590607193	0.0402952945577755	-0.200290466134519	0.159956876201678	0.0896983030794355	-0.0587666445635002	-0.0313383044141574	0.129937839426624	0.0207023246933885	0.204457446992219	0.00859514697101418	-0.189184706828536	-0.0625858657279863	-0.252810771100791	-0.0611209219941056	0.057742105348899	0.241441066509269	0.0390827367653531	0.189773308817533	-0.0722858191930946	-0.0342365630133437	-0.19755635088905	-0.1464139223307	-0.151849654526421	0.0345388561228817	0.171878095027614	0.126407177550588	-0.0761312280430791	L2	IL1b	72
L3	0.115510202260943	-0.15146716695468	-0.266979842045629	-0.23721464217277	-0.0544939037993641	0.334777553517687	-0.307967176108158	0.0606553381639365	0.0715304729109203	-0.28513949126149	-0.274910690531015	-0.157987206298158	-0.183113047144584	-0.12944537023274	0.142658307217943	0.053339963926483	-0.250485194286866	-0.109057978637093	-0.313445128439122	0.301755873396037	-0.289608442337553	-0.136913469917132	-0.10536559459293	0.0960257936311637	0.167727990076957	-0.168525688727469	-0.0685187035396116	0.129702573277603	-0.298300558439118	-0.260759012758992	-0.118381224484573	-0.223795885389283	-0.290390999440878	0.180407714269028	0.238256816178516	0.272045831436873	0.295158876223631	0.186429118651532	0.31370987357657	0.140818086752662	-0.0697315265856127	0.159843853214504	-0.227933440501214	-0.0656453743187548	0.178842039264015	0.0124671458601377	-0.240432912064926	-0.137453431079191	-0.31448479211321	0.132428859237711	-0.272263913045025	0.203069088355369	L3	IL1b	72
M1	-0.0416202597118537	0.30048771734727	-0.117339624541788	0.248285566877839	0.302266249851167	0.115831894409155	0.0360982374800398	0.355048022116396	0.358378582208412	0.161440836240225	0.281675809744601	0.102867991269995	0.168010191008204	0.207533783956262	0.231974414052535	-0.0692287501983288	-0.0918989579999697	-0.288169446099407	0.183532838301392	-0.0824090637269027	0.0675273161490624	0.27461536685545	0.11340160907045	-0.269277170212091	0.313202305435443	-0.245893150648676	0.28987385416805	0.177750937264101	-0.124989567650682	0.0139926040774612	-0.33130825926012	-0.138382993313229	-0.0290148082135509	-0.0473819883497866	0.114767851884096	-0.0785662221303478	-0.112733462381382	0.0691159533092371	0.0812213217861601	0.201838786331499	-0.184146974887159	-0.258817944576031	0.0623087902434081	-0.271765171431873	-0.27808655086789	0.0168046598136123	0.168015646319002	-0.229458388409236	0.0699609315860336	-0.262670371200124	0.109801861411805	0.245199316440858	M1	IL1b_Elig	72
M2	-0.188419225890566	-0.0690781479141825	-0.067198549527306	0.0677479231663861	0.152598949626543	-0.0334502543840778	-0.102463958699893	-0.0613652688794586	-0.0390665165802694	-0.0630180798966907	-0.0667531028904526	0.0315269568281249	-0.0295731509835393	-0.158654417688185	-0.235617785957	0.211146916099883	0.198044601108279	0.177708680660027	0.0102430001109302	0.0501121900237721	-0.0518475397272325	0.0668728423950365	0.271734826578972	-0.0604238923893147	-0.104498326354587	0.0432426193817109	-0.211453323125172	0.151150941780329	0.101426663902772	-0.0863384845750942	-0.00557769148577762	0.14999419640817	0.0527263897387031	0.19304147071746	0.0160799602735326	-0.175297298714678	-0.049952033073486	-0.247966855888416	-0.0547493247759072	0.0597230266643468	0.25239478412775	0.0395151232551149	0.201477181179987	-0.0455859138060281	-0.0369775587902518	-0.151552142669629	-0.100684589444714	-0.137353112964268	0.0552260091592723	0.155194309602173	0.146698609705309	-0.0748032553057215	M2	IL1b_Elig	72
M3	0.106771671993632	-0.157814827189064	-0.238628156059111	-0.2304362544642	-0.0141417881028319	0.332394436897843	-0.274232228226458	0.0526127369661497	0.0943291268342711	-0.257617526946088	-0.0624389948808659	-0.145628560454322	-0.177009139358404	-0.123655997805511	0.156534296852499	0.0903636649051972	-0.234835086368664	-0.100902100039956	-0.267151792411729	0.242847051857236	-0.150296004590061	-0.13137977569851	-0.0695603265447574	0.111101971793266	0.182927922885639	-0.0913975464477351	-0.0707311519261199	0.082868500315221	-0.273800371898861	-0.152702181577261	-0.0933743022842021	-0.21311418100069	-0.273991741764204	0.177831107081034	0.200734952206403	0.258964094230077	0.281629793845669	0.186631534983358	0.263763524785074	0.140521591385133	-0.0855652635426237	0.160018762477548	-0.215881810221591	-0.0615863500658132	0.162813446132305	0.0955055534204168	-0.276305349202672	-0.135618368650414	-0.301603186780449	0.140695622873354	-0.263147142043001	0.20978357386059	M3	IL1b_Elig	72
